n,seconds
1,0.0000332000
2,0.0000063000
3,0.0000085000
4,0.0000336000
5,0.0000432000
6,0.0000724000
7,0.0001495000
8,0.0002934000
9,0.0006435000
10,0.0013420000
11,0.0031831000
12,0.0067204000
13,0.0145340000
14,0.0294979000
15,0.0646155000
16,0.1430068000
17,0.2795690000
18,0.5828305000
19,1.1986943000
20,2.4982743000
21,5.1695104000
22,10.9877596000
